Case_ID,Case Duration,Case Length,Variants,First Activity,Last Activity
1,955148.0,7,3,a,h
2,1115524.0,7,1,a,h
3,465706.0,7,1,a,h
4,1315434.0,7,1,a,h
5,164842.0,3,2,a,c
6,1016500.0,7,1,a,h
7,303685.0,3,2,a,c
8,913044.0,7,1,a,h
9,888447.0,7,1,a,h
10,362558.0,3,2,a,c
11,716501.0,7,3,a,h
12,1275640.0,7,4,a,h
13,1272865.0,7,3,a,h
14,995480.0,7,1,a,h
15,978757.0,7,1,a,h
16,832578.0,7,3,a,h
17,499611.0,7,4,a,h
18,490476.0,3,2,a,c
19,1120936.0,7,1,a,h
20,199564.0,3,2,a,c
21,1041512.0,7,4,a,h
22,874191.0,7,3,a,h
23,692178.0,7,3,a,h
24,1300452.0,7,1,a,h
25,1121268.0,7,1,a,h
26,859505.0,7,1,a,h
27,969293.0,7,1,a,h
28,789868.0,7,3,a,h
29,538561.0,3,2,a,c
30,519391.0,7,3,a,h
31,948277.0,7,3,a,h
32,99490.0,3,2,a,c
33,1034896.0,7,3,a,h
34,827756.0,7,1,a,h
35,190994.0,3,2,a,c
36,857050.0,7,3,a,h
37,1132728.0,7,4,a,h
38,160290.0,3,2,a,c
39,1210280.0,7,3,a,h
40,1995791.0,7,1,a,h
41,2164123.0,7,1,a,h
42,1617075.0,7,4,a,h
43,1748844.0,7,1,a,h
44,1884519.0,7,1,a,h
45,1736085.0,7,1,a,h
46,1608894.0,7,1,a,h
47,1747514.0,7,1,a,h
48,1587388.0,7,1,a,h
49,1687686.0,7,1,a,h
50,1014713.0,7,4,a,h
51,1077309.0,7,1,a,h
52,815187.0,7,3,a,h
53,882627.0,7,4,a,h
54,1006194.0,7,1,a,h
55,1396733.0,7,1,a,h
56,1481067.0,7,1,a,h
57,1406172.0,7,1,a,h
58,197329.0,3,2,a,c
59,1081716.0,7,1,a,h
60,869821.0,7,3,a,h
61,706211.0,7,1,a,h
62,713671.0,7,3,a,h
63,1125985.0,7,1,a,h
64,1271929.0,7,1,a,h
65,1296780.0,7,1,a,h
66,250545.0,3,2,a,c
67,584502.0,7,4,a,h
68,599653.0,7,1,a,h
69,815425.0,7,1,a,h
70,899428.0,7,3,a,h
71,837990.0,7,3,a,h
72,1431440.0,7,4,a,h
73,1120258.0,7,3,a,h
74,1509016.0,7,1,a,h
75,412843.0,3,2,a,c
76,272198.0,3,2,a,c
77,1218801.0,7,3,a,h
78,961523.0,7,3,a,h
79,802220.0,7,3,a,h
80,894972.0,7,3,a,h
81,1119266.0,7,3,a,h
82,1112248.0,7,1,a,h
83,1103068.0,7,1,a,h
84,1212030.0,7,4,a,h
85,743203.0,7,1,a,h
86,634696.0,3,2,a,c
87,485389.0,3,2,a,c
88,840204.0,7,4,a,h
89,725447.0,7,4,a,h
90,1495909.0,7,1,a,h
91,1295591.0,7,3,a,h
92,732309.0,7,1,a,h
93,906736.0,7,3,a,h
94,290860.0,3,2,a,c
95,245603.0,3,2,a,c
96,1177594.0,7,4,a,h
97,656377.0,7,3,a,h
98,1069293.0,7,1,a,h
99,1119624.0,7,1,a,h
100,954716.0,7,1,a,h
101,265536.0,3,2,a,c
102,852822.0,7,4,a,h
103,1450043.0,7,3,a,h
104,1639435.0,7,4,a,h
105,219113.0,3,2,a,c
106,1628676.0,7,1,a,h
107,863949.0,7,1,a,h
108,1499104.0,7,1,a,h
109,1039094.0,7,3,a,h
110,1148138.0,7,1,a,h
111,956562.0,7,1,a,h
112,895112.0,7,1,a,h
113,133235.0,3,2,a,c
114,366551.0,3,2,a,c
115,969846.0,7,1,a,h
116,325611.0,3,2,a,c
117,855600.0,7,3,a,h
118,1012831.0,7,3,a,h
119,467170.0,3,2,a,c
120,1141110.0,7,1,a,h
121,342451.0,3,2,a,c
122,756363.0,7,3,a,h
123,229538.0,3,2,a,c
124,826786.0,7,1,a,h
125,507454.0,3,2,a,c
126,1128898.0,7,1,a,h
127,336995.0,3,2,a,c
128,520696.0,7,4,a,h
129,195181.0,3,2,a,c
130,1605309.0,7,1,a,h
131,1188844.0,7,1,a,h
132,1299759.0,7,1,a,h
133,1495823.0,7,1,a,h
134,1036761.0,7,4,a,h
135,184394.0,3,2,a,c
136,757263.0,7,3,a,h
137,146073.0,3,2,a,c
138,670650.0,7,3,a,h
139,982185.0,7,4,a,h
140,1010862.0,7,1,a,h
141,780497.0,7,3,a,h
142,1164679.0,7,1,a,h
143,1238177.0,7,1,a,h
144,819422.0,7,4,a,h
145,284075.0,3,2,a,c
146,790388.0,7,1,a,h
147,550164.0,7,3,a,h
148,797208.0,7,3,a,h
149,681209.0,7,3,a,h
150,238613.0,3,2,a,c
151,359840.0,3,2,a,c
152,391615.0,3,2,a,c
153,1123063.0,7,1,a,h
154,273940.0,3,2,a,c
155,1125696.0,7,1,a,h
156,275910.0,3,2,a,c
157,845816.0,7,1,a,h
158,782579.0,7,3,a,h
159,1015761.0,7,1,a,h
160,937306.0,7,3,a,h
161,1004989.0,7,3,a,h
162,927084.0,7,3,a,h
163,183065.0,3,2,a,c
164,1442924.0,7,3,a,h
165,101829.0,3,2,a,c
166,853097.0,7,1,a,h
167,1928890.0,7,1,a,h
168,1325520.0,7,3,a,h
169,849207.0,7,3,a,h
170,1399844.0,7,1,a,h
171,1293572.0,7,1,a,h
172,387957.0,3,2,a,c
173,999853.0,7,1,a,h
174,314165.0,3,2,a,c
175,1149639.0,7,1,a,h
176,172865.0,3,2,a,c
177,856764.0,7,3,a,h
178,688312.0,7,1,a,h
179,937065.0,7,1,a,h
180,638765.0,7,1,a,h
181,1447037.0,7,1,a,h
182,1123330.0,7,3,a,h
183,406620.0,3,2,a,c
184,1222951.0,7,3,a,h
185,1241938.0,7,1,a,h
186,974815.0,7,3,a,h
187,197753.0,3,2,a,c
188,720243.0,7,1,a,h
189,982019.0,7,1,a,h
190,656930.0,7,1,a,h
191,933977.0,7,1,a,h
192,901428.0,7,1,a,h
193,877897.0,7,1,a,h
194,219833.0,3,2,a,c
195,1781201.0,7,1,a,h
196,913084.0,7,1,a,h
197,532337.0,3,2,a,c
198,1021931.0,7,1,a,h
199,359253.0,3,2,a,c
200,748840.0,7,3,a,h
201,1150409.0,7,3,a,h
202,1196553.0,7,3,a,h
203,152239.0,3,2,a,c
204,885710.0,7,1,a,h
205,855281.0,7,1,a,h
206,910354.0,7,1,a,h
207,1860526.0,7,3,a,h
208,1311650.0,7,3,a,h
209,346607.0,3,2,a,c
210,217619.0,3,2,a,c
211,1420231.0,7,3,a,h
212,1131995.0,7,3,a,h
213,377805.0,3,2,a,c
214,649296.0,7,4,a,h
215,1190237.0,7,1,a,h
216,1534541.0,7,1,a,h
217,427306.0,3,2,a,c
218,285535.0,3,2,a,c
219,826491.0,7,1,a,h
220,250255.0,3,2,a,c
221,1161682.0,7,1,a,h
222,211290.0,3,2,a,c
223,622808.0,3,2,a,c
224,270210.0,3,2,a,c
225,111292.0,3,2,a,c
226,329592.0,3,2,a,c
227,482382.0,3,2,a,c
228,1516751.0,7,1,a,h
229,871588.0,7,1,a,h
230,1316199.0,7,3,a,h
231,1195164.0,7,3,a,h
232,239880.0,3,2,a,c
233,1065765.0,7,3,a,h
234,1458565.0,7,3,a,h
235,1097776.0,7,1,a,h
236,1915467.0,7,3,a,h
237,1213553.0,7,1,a,h
238,186351.0,3,2,a,c
239,1029365.0,7,4,a,h
240,97702.0,3,2,a,c
241,1236380.0,7,1,a,h
242,712580.0,7,4,a,h
243,299336.0,3,2,a,c
244,896042.0,7,3,a,h
245,1017309.0,7,4,a,h
246,946531.0,7,3,a,h
247,1204152.0,7,4,a,h
248,402078.0,3,2,a,c
249,643471.0,7,3,a,h
250,1001804.0,7,3,a,h
251,1003956.0,7,3,a,h
252,521344.0,3,2,a,c
253,633904.0,7,1,a,h
254,1058346.0,7,1,a,h
255,727670.0,7,4,a,h
256,1253385.0,7,1,a,h
257,702096.0,7,1,a,h
258,1055521.0,7,4,a,h
259,1270161.0,7,3,a,h
260,954160.0,7,3,a,h
261,580285.0,3,2,a,c
262,902637.0,7,3,a,h
263,1199064.0,7,3,a,h
264,921312.0,7,3,a,h
265,502148.0,3,2,a,c
266,1172310.0,7,3,a,h
267,164993.0,3,2,a,c
268,714289.0,7,4,a,h
269,1091170.0,7,1,a,h
270,888575.0,7,3,a,h
271,888583.0,7,3,a,h
272,294382.0,3,2,a,c
273,633494.0,7,4,a,h
274,935202.0,7,1,a,h
275,918695.0,7,1,a,h
276,481507.0,3,2,a,c
277,1027304.0,7,4,a,h
278,761067.0,7,1,a,h
279,321581.0,3,2,a,c
280,1617794.0,7,4,a,h
281,951615.0,7,1,a,h
282,1625593.0,7,1,a,h
283,375580.0,3,2,a,c
284,235304.0,3,2,a,c
285,1192816.0,7,3,a,h
286,301714.0,3,2,a,c
287,744679.0,7,3,a,h
288,259651.0,3,2,a,c
289,360992.0,3,2,a,c
290,365303.0,3,2,a,c
291,1192172.0,7,3,a,h
292,732184.0,7,3,a,h
293,566340.0,3,2,a,c
294,977986.0,7,3,a,h
295,2417317.0,7,1,a,h
296,1358240.0,7,1,a,h
297,1055275.0,7,4,a,h
298,738251.0,3,2,a,c
299,502541.0,3,2,a,c
300,1262816.0,7,3,a,h
301,1556665.0,7,1,a,h
302,1638253.0,7,1,a,h
303,932845.0,7,1,a,h
304,272597.0,3,2,a,c
305,744640.0,7,3,a,h
306,1076145.0,7,3,a,h
307,745710.0,7,3,a,h
308,1167917.0,7,1,a,h
309,934858.0,7,3,a,h
310,1137032.0,7,4,a,h
311,1102194.0,7,4,a,h
312,1325457.0,7,1,a,h
313,1161376.0,7,3,a,h
314,1900608.0,7,1,a,h
315,1628845.0,7,1,a,h
