Case_ID,Case Duration,Case Length,Variants,First User,Last User
1,955148.0,7,83,u2,u2
2,1115524.0,7,304,u2,u1
3,465706.0,7,66,u2,u2
4,1315434.0,7,48,u1,u1
5,164842.0,3,4,u1,u2
6,1016500.0,7,33,u2,u1
7,303685.0,3,3,u1,u1
8,913044.0,7,304,u2,u1
9,888447.0,7,48,u1,u1
10,362558.0,3,5,u2,u1
11,716501.0,7,255,u1,u1
12,1275640.0,7,232,u2,u2
13,1272865.0,7,102,u1,u2
14,995480.0,7,7,u2,u1
15,978757.0,7,25,u1,u1
16,832578.0,7,128,u1,u1
17,499611.0,7,115,u1,u2
18,490476.0,3,2,u2,u1
19,1120936.0,7,61,u1,u2
20,199564.0,3,1,u2,u2
21,1041512.0,7,74,u2,u2
22,874191.0,7,103,u1,u2
23,692178.0,7,11,u2,u1
24,1300452.0,7,49,u2,u2
25,1121268.0,7,17,u2,u1
26,859505.0,7,130,u2,u2
27,969293.0,7,50,u2,u1
28,789868.0,7,22,u2,u2
29,538561.0,3,1,u2,u2
30,519391.0,7,36,u2,u1
31,948277.0,7,98,u1,u1
32,99490.0,3,9,u1,u1
33,1034896.0,7,39,u1,u1
34,827756.0,7,13,u2,u2
35,190994.0,3,1,u2,u2
36,857050.0,7,56,u1,u2
37,1132728.0,7,134,u1,u2
38,160290.0,3,2,u2,u1
39,1210280.0,7,112,u1,u2
40,1995791.0,7,14,u2,u1
41,2164123.0,7,24,u2,u1
42,1617075.0,7,133,u2,u2
43,1748844.0,7,24,u2,u1
44,1884519.0,7,18,u2,u2
45,1736085.0,7,47,u2,u2
46,1608894.0,7,50,u2,u1
47,1747514.0,7,66,u2,u2
48,1587388.0,7,85,u2,u1
49,1687686.0,7,12,u1,u1
50,1014713.0,7,135,u1,u1
51,1077309.0,7,13,u2,u2
52,815187.0,7,52,u2,u2
53,882627.0,7,135,u1,u1
54,1006194.0,7,70,u1,u1
55,1396733.0,7,158,u2,u2
56,1481067.0,7,8,u2,u1
57,1406172.0,7,33,u2,u1
58,197329.0,3,6,u2,u2
59,1081716.0,7,17,u2,u1
60,869821.0,7,22,u2,u2
61,706211.0,7,17,u2,u1
62,713671.0,7,34,u1,u1
63,1125985.0,7,7,u2,u1
64,1271929.0,7,17,u2,u1
65,1296780.0,7,106,u2,u1
66,250545.0,3,6,u2,u2
67,584502.0,7,44,u2,u1
68,599653.0,7,25,u1,u1
69,815425.0,7,86,u2,u1
70,899428.0,7,222,u2,u1
71,837990.0,7,15,u2,u1
72,1431440.0,7,338,u2,u1
73,1120258.0,7,170,u1,u1
74,1509016.0,7,109,u1,u2
75,412843.0,3,1,u2,u2
76,272198.0,3,2,u2,u1
77,1218801.0,7,11,u2,u1
78,961523.0,7,22,u2,u2
79,802220.0,7,21,u1,u1
80,894972.0,7,22,u2,u2
81,1119266.0,7,176,u1,u2
82,1112248.0,7,43,u2,u1
83,1103068.0,7,33,u2,u1
84,1212030.0,7,37,u2,u1
85,743203.0,7,41,u1,u1
86,634696.0,3,5,u2,u1
87,485389.0,3,3,u1,u1
88,840204.0,7,308,u2,u1
89,725447.0,7,232,u2,u2
90,1495909.0,7,306,u1,u1
91,1295591.0,7,21,u1,u1
92,732309.0,7,48,u1,u1
93,906736.0,7,280,u1,u1
94,290860.0,3,6,u2,u2
95,245603.0,3,1,u2,u2
96,1177594.0,7,257,u1,u2
97,656377.0,7,11,u2,u1
98,1069293.0,7,173,u1,u1
99,1119624.0,7,29,u2,u1
100,954716.0,7,69,u1,u1
101,265536.0,3,1,u2,u2
102,852822.0,7,219,u1,u1
103,1450043.0,7,32,u2,u2
104,1639435.0,7,248,u1,u1
105,219113.0,3,4,u1,u2
106,1628676.0,7,87,u2,u2
107,863949.0,7,26,u2,u1
108,1499104.0,7,46,u2,u2
109,1039094.0,7,112,u1,u2
110,1148138.0,7,18,u2,u2
111,956562.0,7,16,u1,u1
112,895112.0,7,69,u1,u1
113,133235.0,3,2,u2,u1
114,366551.0,3,2,u2,u1
115,969846.0,7,55,u2,u2
116,325611.0,3,3,u1,u1
117,855600.0,7,112,u1,u2
118,1012831.0,7,76,u2,u1
119,467170.0,3,6,u2,u2
120,1141110.0,7,25,u1,u1
121,342451.0,3,1,u2,u2
122,756363.0,7,21,u1,u1
123,229538.0,3,6,u2,u2
124,826786.0,7,18,u2,u2
125,507454.0,3,2,u2,u1
126,1128898.0,7,55,u2,u2
127,336995.0,3,2,u2,u1
128,520696.0,7,146,u2,u1
129,195181.0,3,2,u2,u1
130,1605309.0,7,12,u1,u1
131,1188844.0,7,13,u2,u2
132,1299759.0,7,27,u1,u2
133,1495823.0,7,86,u2,u1
134,1036761.0,7,135,u1,u1
135,184394.0,3,4,u1,u2
136,757263.0,7,84,u2,u1
137,146073.0,3,5,u2,u1
138,670650.0,7,336,u1,u1
139,982185.0,7,115,u1,u2
140,1010862.0,7,16,u1,u1
141,780497.0,7,15,u2,u1
142,1164679.0,7,88,u2,u1
143,1238177.0,7,8,u2,u1
144,819422.0,7,166,u2,u2
145,284075.0,3,4,u1,u2
146,790388.0,7,24,u2,u1
147,550164.0,7,23,u2,u2
148,797208.0,7,23,u2,u2
149,681209.0,7,312,u2,u2
150,238613.0,3,6,u2,u2
151,359840.0,3,1,u2,u2
152,391615.0,3,2,u2,u1
153,1123063.0,7,69,u1,u1
154,273940.0,3,1,u2,u2
155,1125696.0,7,7,u2,u1
156,275910.0,3,5,u2,u1
157,845816.0,7,213,u1,u1
158,782579.0,7,79,u2,u1
159,1015761.0,7,173,u1,u1
160,937306.0,7,84,u2,u1
161,1004989.0,7,39,u1,u1
162,927084.0,7,92,u2,u1
163,183065.0,3,3,u1,u1
164,1442924.0,7,105,u1,u2
165,101829.0,3,1,u2,u2
166,853097.0,7,59,u1,u2
167,1928890.0,7,71,u2,u2
168,1325520.0,7,20,u1,u1
169,849207.0,7,105,u1,u2
170,1399844.0,7,101,u2,u1
171,1293572.0,7,7,u2,u1
172,387957.0,3,2,u2,u1
173,999853.0,7,47,u2,u2
174,314165.0,3,3,u1,u1
175,1149639.0,7,7,u2,u1
176,172865.0,3,1,u2,u2
177,856764.0,7,28,u2,u1
178,688312.0,7,18,u2,u2
179,937065.0,7,122,u2,u1
180,638765.0,7,40,u1,u1
181,1447037.0,7,101,u2,u1
182,1123330.0,7,23,u2,u2
183,406620.0,3,9,u1,u1
184,1222951.0,7,39,u1,u1
185,1241938.0,7,29,u2,u1
186,974815.0,7,241,u1,u2
187,197753.0,3,4,u1,u2
188,720243.0,7,94,u1,u1
189,982019.0,7,88,u2,u1
190,656930.0,7,190,u2,u2
191,933977.0,7,31,u1,u1
192,901428.0,7,38,u1,u2
193,877897.0,7,12,u1,u1
194,219833.0,3,4,u1,u2
195,1781201.0,7,190,u2,u2
196,913084.0,7,72,u2,u2
197,532337.0,3,1,u2,u2
198,1021931.0,7,264,u1,u1
199,359253.0,3,1,u2,u2
200,748840.0,7,112,u1,u2
201,1150409.0,7,242,u1,u1
202,1196553.0,7,81,u2,u2
203,152239.0,3,6,u2,u2
204,885710.0,7,69,u1,u1
205,855281.0,7,59,u1,u2
206,910354.0,7,30,u2,u2
207,1860526.0,7,21,u1,u1
208,1311650.0,7,32,u2,u2
209,346607.0,3,3,u1,u1
210,217619.0,3,4,u1,u2
211,1420231.0,7,20,u1,u1
212,1131995.0,7,153,u2,u1
213,377805.0,3,2,u2,u1
214,649296.0,7,166,u2,u2
215,1190237.0,7,177,u1,u2
216,1534541.0,7,49,u2,u2
217,427306.0,3,4,u1,u2
218,285535.0,3,6,u2,u2
219,826491.0,7,18,u2,u2
220,250255.0,3,3,u1,u1
221,1161682.0,7,198,u1,u2
222,211290.0,3,1,u2,u2
223,622808.0,3,10,u1,u2
224,270210.0,3,1,u2,u2
225,111292.0,3,1,u2,u2
226,329592.0,3,2,u2,u1
227,482382.0,3,2,u2,u1
228,1516751.0,7,90,u2,u2
229,871588.0,7,65,u1,u1
230,1316199.0,7,99,u2,u1
231,1195164.0,7,199,u1,u2
232,239880.0,3,1,u2,u2
233,1065765.0,7,159,u2,u2
234,1458565.0,7,179,u1,u1
235,1097776.0,7,7,u2,u1
236,1915467.0,7,84,u2,u1
237,1213553.0,7,38,u1,u2
238,186351.0,3,4,u1,u2
239,1029365.0,7,89,u1,u1
240,97702.0,3,4,u1,u2
241,1236380.0,7,66,u2,u2
242,712580.0,7,191,u2,u1
243,299336.0,3,1,u2,u2
244,896042.0,7,126,u2,u2
245,1017309.0,7,51,u2,u1
246,946531.0,7,175,u1,u1
247,1204152.0,7,82,u2,u1
248,402078.0,3,4,u1,u2
249,643471.0,7,39,u1,u1
250,1001804.0,7,11,u2,u1
251,1003956.0,7,179,u1,u1
252,521344.0,3,5,u2,u1
253,633904.0,7,184,u2,u2
254,1058346.0,7,40,u1,u1
255,727670.0,7,319,u1,u1
256,1253385.0,7,49,u2,u2
257,702096.0,7,213,u1,u1
258,1055521.0,7,286,u1,u1
259,1270161.0,7,270,u2,u1
260,954160.0,7,81,u2,u2
261,580285.0,3,2,u2,u1
262,902637.0,7,64,u1,u1
263,1199064.0,7,80,u2,u1
264,921312.0,7,60,u2,u1
265,502148.0,3,2,u2,u1
266,1172310.0,7,295,u2,u2
267,164993.0,3,6,u2,u2
268,714289.0,7,57,u2,u2
269,1091170.0,7,26,u2,u1
270,888575.0,7,80,u2,u1
271,888583.0,7,68,u2,u1
272,294382.0,3,1,u2,u2
273,633494.0,7,89,u1,u1
274,935202.0,7,12,u1,u1
275,918695.0,7,16,u1,u1
276,481507.0,3,3,u1,u1
277,1027304.0,7,113,u2,u1
278,761067.0,7,7,u2,u1
279,321581.0,3,10,u1,u2
280,1617794.0,7,271,u2,u1
281,951615.0,7,26,u2,u1
282,1625593.0,7,47,u2,u2
283,375580.0,3,2,u2,u1
284,235304.0,3,3,u1,u1
285,1192816.0,7,211,u1,u2
286,301714.0,3,1,u2,u2
287,744679.0,7,126,u2,u2
288,259651.0,3,3,u1,u1
289,360992.0,3,6,u2,u2
290,365303.0,3,3,u1,u1
291,1192172.0,7,250,u1,u2
292,732184.0,7,143,u2,u1
293,566340.0,3,2,u2,u1
294,977986.0,7,99,u2,u1
295,2417317.0,7,229,u2,u1
296,1358240.0,7,8,u2,u1
297,1055275.0,7,51,u2,u1
298,738251.0,3,5,u2,u1
299,502541.0,3,10,u1,u2
300,1262816.0,7,105,u1,u2
301,1556665.0,7,67,u2,u2
302,1638253.0,7,97,u2,u2
303,932845.0,7,14,u2,u1
304,272597.0,3,4,u1,u2
305,744640.0,7,22,u2,u2
306,1076145.0,7,79,u2,u1
307,745710.0,7,84,u2,u1
308,1167917.0,7,29,u2,u1
309,934858.0,7,99,u2,u1
310,1137032.0,7,132,u2,u1
311,1102194.0,7,288,u2,u2
312,1325457.0,7,85,u2,u1
313,1161376.0,7,316,u1,u2
314,1900608.0,7,165,u2,u2
315,1628845.0,7,16,u1,u1
316,1416172.0,7,69,u1,u1
317,1356578.0,7,174,u1,u1
318,1512218.0,7,132,u2,u1
319,1128791.0,7,205,u2,u1
320,1304421.0,7,365,u1,u2
321,807989.0,7,152,u2,u2
322,1105731.0,7,149,u1,u2
323,988550.0,7,16,u1,u1
324,763072.0,7,183,u1,u1
