Case_ID,Source,Timestamp1,User1,Case_ID2,Target,Timestamp2,User2,Comparison,Count,Count_Reverse,Start_Connect,End_Connect,Duration
1,g,2016-04-25 14:56:42,u5,1,h,2016-04-26 10:00:36,u2,True,6,1,,End,-68634.0
1,f,2016-04-24 19:18:32,u7,1,g,2016-04-25 14:56:42,u5,True,5,2,,,-70690.0
1,e,2016-04-23 15:06:58,u7,1,f,2016-04-24 19:18:32,u7,True,4,3,,,-101494.0
1,d,2016-04-19 07:22:59,u5,1,e,2016-04-23 15:06:58,u7,True,3,4,,,-373439.0
1,b,2016-04-18 12:55:01,u3,1,d,2016-04-19 07:22:59,u5,True,2,5,,,-66478.0
1,a,2016-04-15 08:41:28,u2,1,b,2016-04-18 12:55:01,u3,True,1,6,Start,,-274413.0
2,f,2016-04-28 15:00:35,u7,2,h,2016-05-01 18:32:18,u1,True,6,1,,End,-271903.0
2,e,2016-04-27 16:12:28,u7,2,f,2016-04-28 15:00:35,u7,True,5,2,,,-82087.0
2,g,2016-04-25 22:36:27,u5,2,e,2016-04-27 16:12:28,u7,True,4,3,,,-149761.0
2,d,2016-04-24 01:29:27,u6,2,g,2016-04-25 22:36:27,u5,True,3,4,,,-162420.0
2,b,2016-04-21 22:42:39,u4,2,d,2016-04-24 01:29:27,u6,True,2,5,,,-182808.0
2,a,2016-04-18 20:40:14,u2,2,b,2016-04-21 22:42:39,u4,True,1,6,Start,,-266545.0
3,f,2016-05-02 01:33:30,u8,3,h,2016-05-02 11:06:53,u2,True,6,1,,End,-34403.0
3,e,2016-04-30 22:57:03,u8,3,f,2016-05-02 01:33:30,u8,True,5,2,,,-95787.0
3,g,2016-04-29 16:24:46,u5,3,e,2016-04-30 22:57:03,u8,True,4,3,,,-109937.0
3,d,2016-04-29 00:12:15,u5,3,g,2016-04-29 16:24:46,u5,True,3,4,,,-58351.0
3,b,2016-04-27 21:50:32,u3,3,d,2016-04-29 00:12:15,u5,True,2,5,,,-94903.0
3,a,2016-04-27 01:45:07,u2,3,b,2016-04-27 21:50:32,u3,True,1,6,Start,,-72325.0
4,f,2016-05-14 23:42:03,u8,4,h,2016-05-17 14:02:28,u1,True,6,1,,End,-224425.0
4,e,2016-05-13 13:56:10,u7,4,f,2016-05-14 23:42:03,u8,True,5,2,,,-121553.0
4,g,2016-05-13 10:34:23,u5,4,e,2016-05-13 13:56:10,u7,True,4,3,,,-12107.0
4,d,2016-05-06 17:56:11,u5,4,g,2016-05-13 10:34:23,u5,True,3,4,,,-578292.0
4,b,2016-05-06 00:50:31,u3,4,d,2016-05-06 17:56:11,u5,True,2,5,,,-61540.0
4,a,2016-05-02 08:38:34,u1,4,b,2016-05-06 00:50:31,u3,True,1,6,Start,,-317517.0
5,b,2016-05-10 06:29:42,u3,5,c,2016-05-11 05:04:34,u2,True,2,1,,End,-81292.0
5,a,2016-05-09 07:17:12,u1,5,b,2016-05-10 06:29:42,u3,True,1,2,Start,,-83550.0
6,f,2016-05-18 12:54:53,u7,6,h,2016-05-20 01:23:09,u1,True,6,1,,End,-131296.0
6,e,2016-05-18 03:47:00,u7,6,f,2016-05-18 12:54:53,u7,True,5,2,,,-32873.0
